Motif	Num	Protection_Score_E14F_chr25	Protection_Score_wingE_chr25	TC_E14F_chr25	TC_wingE_chr25	TF_Activity	Z_score	P_values
MA0442.2.SOX10	17	0.5327593	0.53650534	0.47952172	0.6072026	0.13142690062522888	0.2606355335431744	0.7943735846933557
MA0686.1.SPDEF	6	1.0674379	0.59909683	3.0304966	2.6648521	-0.8339855074882507	-0.5340034966082513	0.593339114902139
MA0506.1.NRF1	60	1.1160308	0.7197567	1.7618281	1.2552344	-0.9028677940368652	-0.5907010829636667	0.5547207222155324
MA0501.1.MAF::NFE2	7	-0.33140323	-0.048712444	0.5760807	0.40473104	0.11134113743901253	0.24410277381892811	0.8071512243235237
MA0774.1.MEIS2	10	-2.2175047	-1.9441764	2.141015	1.719274	-0.14841270446777344	0.030297213339066754	0.9758300189873693
MA0795.1.SMAD3	1	0.0075836144	-0.24837773	0.048671305	0.42516303	0.1205303855240345	0.2516665207987001	0.8012988367480718
MA1549.1.POU6F1(var.2)	8	0.13301596	0.3134495	0.185406	0.34744063	0.34246817231178284	0.4343453699255697	0.6640376621277293
MA1143.1.FOSL1::JUND(var.2)	2	0.29146385	0.44087324	2.1884675	1.5757947	-0.4632634222507477	-0.22885904663737838	0.8189784718541782
MA0884.1.DUXA	1	0.11075836	0.24134521	0.11638888	0.22599815	0.2401961237192154	0.35016439107943453	0.7262153288671247
MA0092.1.Hand1::Tcf3	5	1.2164565	1.0072154	1.143601	0.9192579	-0.43358421325683594	-0.20442984140614495	0.8380176124822498
MA0691.1.TFAP4	8	-1.7828065	-1.0660377	2.4658437	2.106994	0.3579190969467163	0.44706315526130896	0.6548294608756033
MA0139.1.CTCF	45	1.3833439	1.1849318	1.6134516	1.6015506	-0.21031320095062256	-0.020653603200719302	0.9835219803979683
MA0052.4.MEF2A	8	0.80596346	1.2008538	0.68858355	1.0966123	0.8029191493988037	0.813346421486218	0.4160194687393014
MA0620.3.MITF	14	1.6300559	1.0096242	1.4175774	1.6277304	-0.41027867794036865	-0.18524686030356471	0.8530354158769566
MA0003.4.TFAP2A	25	-0.36741173	0.1096861	0.9939982	0.8614108	0.34451039880514145	0.4360263436383514	0.662817616322386
MA0517.1.STAT1::STAT2	14	0.90530574	0.66234416	0.8975617	0.7111951	-0.42932820320129395	-0.20092668392191562	0.8407559024278222
MA0462.2.BATF::JUN	11	-0.5285833	-1.370173	0.6685335	0.9301128	-0.5800104141235352	-0.32495447240073083	0.7452155290412705
MA0508.3.PRDM1	12	1.204052	0.9429796	0.80550784	0.71084964	-0.3557305932044983	-0.14034787538598667	0.8883851395330994
MA0738.1.HIC2	12	0.26309198	0.591899	0.50348884	0.66182876	0.48714691400527954	0.5534316526547378	0.5799678696360462
MA0770.1.HSF2	1	-0.15699902	-0.48622903	0.08339548	0.5848102	0.17218470573425293	0.29418362392480196	0.7686175934884263
MA1114.1.PBX3	5	2.1076674	0.8574403	3.638452	2.8506117	-2.0380675196647644	-1.525093474671029	0.12723578455947618
MA0846.1.FOXC2	2	0.77393186	0.9807511	0.48637113	0.85427356	0.5747216641902924	0.6255151622180332	0.5316330002737333
MA1587.1.ZNF135	26	0.15020302	0.51450837	1.5921919	1.5406538	0.31276723742485046	0.4098982819300233	0.6818805657460716
MA1633.1.BACH1	13	-0.55768836	-0.8038224	0.5421046	0.84290063	0.05466198921203613	0.19744969271247598	0.8434756457832955
MA0909.2.HOXD13	14	0.76851535	0.6435808	0.84890604	0.9965386	0.02269798517227173	0.17113985356347572	0.864113799500641
MA0714.1.PITX3	3	1.2187686	0.7131996	0.8329052	1.1238854	-0.21458876132965088	-0.024172852719776202	0.980714732192449
MA0101.1.REL	24	-0.98369765	-0.6168331	1.0012711	0.77201635	0.13760977983474731	0.2657247131490135	0.7904512290834311
MA0736.1.GLIS2	26	-0.027662754	0.33022463	0.90847254	0.85559624	0.3050110936164856	0.4035141350703016	0.6865700383467109
